date,prcp,tobs
2010-01-01,0.15142857142857144,69.71428571428571
2010-01-02,0.002857142857142857,67.0
2010-01-03,0.0,74.0
2010-01-04,0.0014285714285714286,75.0
2010-01-05,0.005,74.5
2010-01-06,0.11600000000000002,73.4
2010-01-07,0.27499999999999997,70.16666666666667
2010-01-08,0.008571428571428572,65.57142857142857
2010-01-09,0.002857142857142857,68.57142857142857
2010-01-10,0.002857142857142857,72.71428571428571
2010-01-11,0.12571428571428572,66.71428571428571
2010-01-12,0.002857142857142857,61.57142857142857
2010-01-13,0.0033333333333333335,61.5
2010-01-14,0.0,66.42857142857143
2010-01-15,0.0,64.83333333333333
2010-01-16,0.0,67.33333333333333
2010-01-17,0.0,68.0
2010-01-18,0.0,73.5
2010-01-19,0.0,69.42857142857143
2010-01-20,0.0014285714285714286,67.85714285714286
2010-01-21,0.10833333333333334,69.5
2010-01-22,0.0,63.5
2010-01-23,0.0,73.83333333333333
2010-01-24,0.0033333333333333335,73.16666666666667
2010-01-25,0.0,66.33333333333333
2010-01-26,0.03571428571428571,74.71428571428571
2010-01-27,0.2285714285714286,68.71428571428571
2010-01-28,0.12166666666666666,69.83333333333333
2010-01-29,0.438,65.8
2010-01-30,1.4700000000000002,70.6
2010-01-31,0.36000000000000004,71.5
2010-02-01,0.008333333333333333,66.5
2010-02-02,0.01,67.0
2010-02-03,0.535,64.5
2010-02-04,0.002857142857142857,67.57142857142857
2010-02-05,0.022857142857142857,65.28571428571429
2010-02-06,0.017142857142857144,68.42857142857143
2010-02-07,0.002,64.8
2010-02-08,0.0,67.66666666666667
2010-02-09,0.0,69.57142857142857
2010-02-10,0.0,65.83333333333333
2010-02-11,0.0,70.8
2010-02-12,0.164,68.6
2010-02-13,0.13,69.0
2010-02-14,0.004285714285714286,69.14285714285714
2010-02-15,0.0,71.71428571428571
2010-02-16,0.0,65.0
2010-02-17,0.008571428571428572,67.71428571428571
2010-02-18,0.0,66.0
2010-02-19,0.13799999999999998,62.0
2010-02-20,0.23,68.0
2010-02-21,0.036666666666666674,67.0
2010-02-22,0.246,64.6
2010-02-23,0.005,65.33333333333333
2010-02-24,0.0014285714285714286,64.28571428571429
2010-02-25,0.002857142857142857,69.57142857142857
2010-02-26,0.0033333333333333335,72.83333333333333
2010-02-27,0.0075,71.5
2010-02-28,0.10200000000000001,68.0
2010-03-01,0.028571428571428574,68.28571428571429
2010-03-02,0.0,70.0
2010-03-03,0.018571428571428572,69.71428571428571
2010-03-04,0.41857142857142854,67.28571428571429
2010-03-05,0.33142857142857146,68.28571428571429
2010-03-06,0.33625,70.625
2010-03-07,0.08571428571428572,69.71428571428571
2010-03-08,0.39142857142857146,67.57142857142857
2010-03-09,0.08875,69.125
2010-03-10,0.13166666666666668,69.83333333333333
